timestamp,action,x,y,char_x,char_y,obstacle_top,obstacle_right,obstacle_bottom,obstacle_left
0,Pathfinding to patrol point,20,20,2,10,140,80,100,120
1,Pathfinding to patrol point,19,19,2,10,120,100,260,100
2,Pathfinding to patrol point,19,19,2,10,120,100,260,100
3,Pathfinding to patrol point,19,19,2,10,120,100,260,100
4,Pathfinding to patrol point,19,19,2,11,120,100,260,100
5,Pathfinding to patrol point,18,19,2,11,100,100,280,100
6,Pathfinding to patrol point,18,18,2,11,100,120,280,80
7,Pathfinding to patrol point,18,18,2,12,100,120,280,80
8,Pathfinding to patrol point,18,18,2,12,100,120,280,80
9,Pathfinding to patrol point,18,17,2,13,100,140,280,60
10,Pathfinding to patrol point,18,17,2,13,100,140,280,60
11,Pathfinding to patrol point,18,16,2,13,100,160,280,40
12,Pathfinding to patrol point,18,16,2,14,100,160,280,40
13,Pathfinding to patrol point,18,16,2,14,100,160,280,40
14,Pathfinding to patrol point,18,15,2,15,260,180,280,20
15,Pathfinding to patrol point,18,15,2,15,260,180,280,20
16,Pathfinding to patrol point,17,15,2,15,240,180,300,320
17,Pathfinding to patrol point,17,14,2,16,240,200,20,300
18,Pathfinding to patrol point,17,14,2,16,240,200,20,300
19,Pathfinding to patrol point,17,14,2,17,240,200,20,300
20,Pathfinding to patrol point,17,13,2,17,360,220,20,280
21,Pathfinding to patrol point,17,13,2,17,360,220,20,280
22,Pathfinding to patrol point,17,12,2,18,140,240,300,260
23,Pathfinding to patrol point,17,12,2,18,140,240,300,260
24,Pathfinding to patrol point,16,12,2,18,120,240,320,260
25,Pathfinding to patrol point,16,12,2,18,120,240,320,260
26,Pathfinding to patrol point,16,12,2,18,120,240,320,260
27,Pathfinding to patrol point,15,12,2,17,100,240,340,260
28,Pathfinding to patrol point,15,11,2,17,100,260,220,240
29,Pathfinding to patrol point,15,11,2,17,100,260,220,240
30,Pathfinding to patrol point,14,11,2,16,80,260,240,120
31,Pathfinding to patrol point,14,11,2,16,80,260,240,120
32,Pathfinding to patrol point,14,10,2,15,300,280,240,100
33,Pathfinding to patrol point,14,10,2,15,300,280,240,100
34,Pathfinding to patrol point,14,9,2,15,180,300,240,80
35,Pathfinding to patrol point,14,9,2,14,180,300,240,80
36,Pathfinding to patrol point,13,9,2,14,160,140,260,80
37,Pathfinding to patrol point,13,9,2,13,160,140,260,80
38,Pathfinding to patrol point,13,8,2,13,160,160,260,60
39,Pathfinding to patrol point,12,8,2,13,140,160,280,60
40,Pathfinding to patrol point,12,8,2,12,140,160,280,60
41,Pathfinding to patrol point,12,8,2,12,140,160,280,60
42,Pathfinding to patrol point,11,8,2,11,120,320,300,60
43,Pathfinding to patrol point,11,8,2,11,120,320,300,60
44,Pathfinding to patrol point,11,8,2,10,120,320,300,60
45,Pathfinding to patrol point,10,8,2,10,100,60,320,60
46,Pathfinding to patrol point,10,7,2,10,100,80,200,40
47,Pathfinding to patrol point,10,7,2,9,100,80,200,40
48,Pathfinding to patrol point,9,7,2,9,80,80,220,40
49,Pathfinding to patrol point,9,7,2,8,80,80,220,40
50,Pathfinding to patrol point,9,6,2,8,80,100,220,20
51,Pathfinding to patrol point,9,6,2,8,80,100,220,20
52,Pathfinding to patrol point,8,6,2,7,60,360,240,140
53,Pathfinding to patrol point,8,5,2,7,60,380,20,120
54,Pathfinding to patrol point,8,5,2,6,60,380,20,120
55,Pathfinding to patrol point,8,5,2,6,60,380,20,120
56,Pathfinding to patrol point,8,4,2,6,60,400,20,100
57,Pathfinding to patrol point,8,4,2,5,60,400,20,100
58,Pathfinding to patrol point,8,3,2,5,60,420,480,80
59,Pathfinding to patrol point,8,3,2,4,60,420,480,80
60,Pathfinding to patrol point,8,3,2,4,60,420,480,80
61,Pathfinding to patrol point,8,3,2,4,60,420,480,80
62,Pathfinding to patrol point,8,3,2,4,60,420,480,80
63,Pathfinding to patrol point,8,3,2,4,60,420,480,80
64,Pathfinding to patrol point,8,4,2,4,60,400,20,100
65,Pathfinding to patrol point,8,4,2,5,60,400,20,100
66,Pathfinding to patrol point,8,4,2,5,60,400,20,100
67,Pathfinding to patrol point,8,5,2,5,60,380,20,120
68,Pathfinding to patrol point,8,5,2,6,60,380,20,120
69,Pathfinding to patrol point,8,6,2,6,60,360,240,140
70,Pathfinding to patrol point,8,6,2,7,60,360,240,140
71,Pathfinding to patrol point,8,6,2,7,60,360,240,140
72,Pathfinding to patrol point,8,7,2,8,60,340,240,160
73,Pathfinding to patrol point,8,7,2,8,60,340,240,160
74,Pathfinding to patrol point,8,8,2,8,60,320,360,180
75,Pathfinding to patrol point,8,8,2,9,60,320,360,180
76,Pathfinding to patrol point,8,9,2,9,60,300,360,200
77,Pathfinding to patrol point,8,9,2,10,60,300,360,200
78,Pathfinding to patrol point,8,9,2,10,60,300,360,200
79,Pathfinding to patrol point,8,10,2,10,180,280,360,220
80,Pathfinding to patrol point,8,10,2,11,180,280,360,220
81,Pathfinding to patrol point,8,11,2,11,180,260,20,240
82,Pathfinding to patrol point,8,11,2,12,180,260,20,240
83,Pathfinding to patrol point,8,11,2,12,180,260,20,240
84,Pathfinding to patrol point,8,12,2,12,180,240,20,260
85,Pathfinding to patrol point,8,12,2,13,180,240,20,260
86,Pathfinding to patrol point,8,13,2,13,180,220,200,280
87,Pathfinding to patrol point,8,13,2,14,180,220,200,280
88,Pathfinding to patrol point,8,13,2,14,180,220,200,280
89,Pathfinding to patrol point,8,14,2,15,60,200,200,300
90,Pathfinding to patrol point,8,14,2,15,60,200,200,300
91,Pathfinding to patrol point,8,15,2,15,60,180,480,320
92,Pathfinding to patrol point,8,15,2,16,60,180,480,320
93,Pathfinding to patrol point,8,15,2,16,60,180,480,320
94,Pathfinding to patrol point,8,16,2,17,60,160,80,340
95,Pathfinding to patrol point,8,16,2,17,60,160,80,340
96,Pathfinding to patrol point,8,17,2,17,60,140,80,360
97,Pathfinding to patrol point,8,17,2,18,60,140,80,360
98,Pathfinding to patrol point,8,18,2,18,60,120,80,380
99,Pathfinding to patrol point,8,18,2,18,60,120,80,380
100,Pathfinding to patrol point,8,18,2,18,60,120,80,380
101,Pathfinding to patrol point,8,19,2,18,60,100,80,400
102,Pathfinding to patrol point,8,19,2,18,60,100,80,400
103,Pathfinding to patrol point,9,19,2,17,80,100,60,140
104,Pathfinding to patrol point,9,19,2,17,80,100,60,140
105,Pathfinding to patrol point,9,19,2,16,80,100,60,140
106,Pathfinding to patrol point,9,19,2,16,80,100,60,140
107,Pathfinding to patrol point,9,19,2,16,80,100,60,140
108,Pathfinding to patrol point,9,18,2,15,80,120,60,120
109,Pathfinding to patrol point,9,18,2,15,80,120,60,120
110,Pathfinding to patrol point,9,17,2,14,80,140,60,100
111,Pathfinding to patrol point,9,17,2,14,80,140,60,100
112,Pathfinding to patrol point,9,17,2,13,80,140,60,100
113,Pathfinding to patrol point,9,16,2,13,80,160,60,80
114,Pathfinding to patrol point,9,16,2,13,80,160,60,80
115,Pathfinding to patrol point,9,15,2,12,80,180,460,60
116,Pathfinding to patrol point,9,15,2,12,80,180,460,60
117,Pathfinding to patrol point,9,15,2,11,80,180,460,60
118,Pathfinding to patrol point,9,14,2,11,80,200,180,40
119,Pathfinding to patrol point,10,14,2,11,100,200,160,40
120,Pathfinding to patrol point,10,14,2,10,100,200,160,40
121,Pathfinding to patrol point,10,14,2,10,100,200,160,40
122,Pathfinding to patrol point,11,14,2,9,120,200,140,180
123,Pathfinding to patrol point,11,13,2,9,240,220,140,160
124,Pathfinding to patrol point,11,13,2,9,240,220,140,160
125,Pathfinding to patrol point,12,13,2,8,260,60,120,160
126,Pathfinding to patrol point,12,13,2,8,260,60,120,160
127,Pathfinding to patrol point,12,12,2,7,40,80,400,140
128,Pathfinding to patrol point,12,12,2,7,40,80,400,140
129,Pathfinding to patrol point,13,12,2,7,60,80,380,140
130,Pathfinding to patrol point,13,12,2,6,60,80,380,140
131,Pathfinding to patrol point,13,12,2,6,60,80,380,140
132,Pathfinding to patrol point,14,12,2,5,80,240,360,140
133,Pathfinding to patrol point,14,11,2,5,80,260,240,120
134,Pathfinding to patrol point,14,11,2,5,80,260,240,120
135,Pathfinding to patrol point,15,11,2,4,100,260,220,240
136,Pathfinding to patrol point,15,11,2,4,100,260,220,240
137,Pathfinding to patrol point,16,11,2,4,120,260,200,240
138,Pathfinding to patrol point,16,11,2,4,120,260,200,240
139,Pathfinding to patrol point,16,11,3,4,120,260,200,240
140,Pathfinding to patrol point,17,11,3,4,140,260,180,240
141,Pathfinding to patrol point,17,11,3,4,140,260,180,240
142,Pathfinding to patrol point,18,11,3,5,160,40,160,240
143,Pathfinding to patrol point,18,11,3,5,160,40,160,240
144,Pathfinding to patrol point,18,11,3,6,160,40,160,240
145,Pathfinding to patrol point,19,11,3,6,180,40,140,240
146,Pathfinding to patrol point,19,11,3,6,180,40,140,240
147,Pathfinding to patrol point,20,11,3,7,200,40,120,80
148,Pathfinding to patrol point,20,11,3,7,200,40,120,80
149,Pathfinding to patrol point,21,11,3,8,220,40,100,80
150,Pathfinding to patrol point,21,11,3,8,220,40,100,80
151,Pathfinding to patrol point,21,11,3,9,220,40,100,80
152,Pathfinding to patrol point,22,11,3,9,240,260,80,240
153,Pathfinding to patrol point,22,11,3,9,240,260,80,240
154,Pathfinding to patrol point,23,11,3,10,260,260,60,240
155,Pathfinding to patrol point,23,11,3,10,260,260,60,240
156,Pathfinding to patrol point,23,11,4,10,260,260,60,240
157,Pathfinding to patrol point,24,11,4,10,280,260,40,240
158,Pathfinding to patrol point,24,11,5,10,280,260,40,240
159,Pathfinding to patrol point,25,11,5,10,300,180,20,240
160,Pathfinding to patrol point,25,11,5,10,300,180,20,240
161,Pathfinding to character,25,12,6,10,300,160,140,260
162,Pathfinding to character,25,12,6,10,300,160,140,260
163,Pathfinding to character,25,12,7,10,300,160,140,260
164,Pathfinding to character,25,12,7,10,300,160,140,260
165,Pathfinding to character,24,12,7,10,280,240,160,260
166,Pathfinding to character,24,12,8,10,280,240,160,260
167,Pathfinding to character,23,12,8,10,260,240,180,260
168,Pathfinding to character,23,12,9,10,260,240,180,260
169,Pathfinding to character,22,12,9,10,240,240,200,260
170,Pathfinding to character,22,12,10,10,240,240,200,260
171,Pathfinding to character,21,12,10,10,220,20,220,100
172,Pathfinding to character,21,12,10,10,220,20,220,100
173,Pathfinding to character,20,12,11,10,200,20,240,100
174,Pathfinding to character,20,12,11,10,200,20,240,100
175,Pathfinding to character,19,12,12,10,180,20,260,260
176,Pathfinding to character,19,12,12,10,180,20,260,260
177,Pathfinding to character,18,12,12,10,160,20,280,260
178,Pathfinding to character,18,12,13,10,160,20,280,260
179,Pathfinding to character,17,12,13,10,140,240,300,260
180,Pathfinding to character,17,12,14,10,140,240,300,260
181,Pathfinding to character,16,12,14,10,120,240,320,260
182,Pathfinding to character,16,11,14,10,120,260,200,240
183,Pathfinding to character,16,11,15,10,120,260,200,240
184,Making character invisible,16,10,2,10,340,280,200,220
